               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10826,             0.14443,            0.044787,                   0,                   0,                   0,                   0,             0.10685,            0.098346,            0.043729,              0.0856,              0.0016,              0.0016
                   1,             0.10629,             0.14886,            0.044488,                   0,                   0,                   0,                   0,             0.10576,            0.099878,            0.043686,            0.069973,           0.0029733,           0.0029733
                   2,             0.10615,             0.15543,            0.044306,                   0,                   0,                   0,                   0,             0.10458,             0.10147,            0.043646,             0.05401,             0.00401,             0.00401
                   3,             0.10354,             0.14351,            0.044065,                   0,                   0,                   0,                   0,             0.10401,              0.1022,            0.043626,             0.03771,           0.0047101,           0.0047101
                   4,             0.10284,             0.14624,            0.043831,                   0,                   0,                   0,                   0,             0.10356,             0.10277,            0.043612,            0.021074,           0.0050736,           0.0050736
                   5,             0.10486,             0.16036,            0.044122,                   0,                   0,                   0,                   0,             0.10269,             0.10394,            0.043609,             0.00505,             0.00505,             0.00505
                   6,             0.10288,             0.16716,            0.043786,                   0,                   0,                   0,                   0,             0.10239,             0.10461,             0.04363,             0.00505,             0.00505,             0.00505
                   7,             0.10297,             0.13524,            0.043987,                   0,                   0,                   0,                   0,             0.10189,             0.10503,            0.043607,             0.00406,             0.00406,             0.00406
                   8,             0.10174,             0.17211,            0.043706,                   0,                   0,                   0,                   0,             0.10146,             0.10516,            0.043597,             0.00307,             0.00307,             0.00307
                   9,             0.10147,             0.15592,            0.043661,                   0,                   0,                   0,                   0,              0.1011,             0.10541,            0.043641,             0.00208,             0.00208,             0.00208
