               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10834,             0.14438,            0.044806,                   0,                   0,                   0,                   0,             0.10685,            0.091946,            0.043722,              0.0856,              0.0016,              0.0016
                   1,             0.10615,             0.14923,             0.04437,                   0,                   0,                   0,                   0,             0.10578,            0.093229,            0.043689,            0.070293,           0.0032935,           0.0032935
                   2,             0.10633,             0.15553,            0.044361,                   0,                   0,                   0,                   0,             0.10452,             0.09431,            0.043648,             0.05498,           0.0049802,           0.0049802
                   3,             0.10334,             0.14407,            0.044066,                   0,                   0,                   0,                   0,             0.10387,            0.094721,            0.043624,             0.03966,           0.0066602,           0.0066602
                   4,             0.10278,             0.14646,            0.043862,                   0,                   0,                   0,                   0,              0.1033,            0.095713,            0.043599,            0.024333,           0.0083335,           0.0083335
                   5,             0.10454,             0.16081,            0.044123,                   0,                   0,                   0,                   0,             0.10201,            0.097151,            0.043579,            0.009901,            0.009901,            0.009901
                   6,             0.10222,             0.16839,            0.043655,                   0,                   0,                   0,                   0,             0.10123,            0.098146,            0.043599,            0.009901,            0.009901,            0.009901
                   7,             0.10191,             0.13692,            0.043809,           0.0010163,           0.0048077,          0.00051841,          5.1841e-05,               0.101,            0.098496,            0.043612,           0.0098812,           0.0098812,           0.0098812
                   8,             0.10066,              0.1746,             0.04341,           0.0017272,            0.021474,          0.00094668,          0.00019553,             0.10288,            0.094626,            0.044609,           0.0098614,           0.0098614,           0.0098614
                   9,            0.099919,             0.15882,             0.04329,           0.0026435,            0.031932,           0.0016115,          0.00029092,             0.10412,            0.091935,            0.045874,           0.0098416,           0.0098416,           0.0098416
                  10,            0.099521,             0.16196,            0.043331,           0.0032671,            0.052916,           0.0019064,          0.00053777,             0.10559,            0.088822,            0.048499,           0.0098218,           0.0098218,           0.0098218
                  11,             0.09926,             0.16173,            0.043161,           0.0028914,            0.046122,            0.001619,          0.00043177,             0.10589,            0.088307,            0.049719,            0.009802,            0.009802,            0.009802
                  12,            0.098797,             0.17146,            0.042987,           0.0046051,            0.074202,           0.0028155,           0.0006585,              0.1062,            0.089089,            0.049548,           0.0097822,           0.0097822,           0.0097822
                  13,            0.098446,             0.18639,             0.04294,           0.0026652,            0.041642,           0.0014619,          0.00032106,             0.10556,            0.089008,            0.047953,           0.0097624,           0.0097624,           0.0097624
                  14,            0.097074,             0.17584,            0.042932,           0.0026089,            0.041736,           0.0033208,           0.0005559,             0.10509,             0.08928,            0.047225,           0.0097426,           0.0097426,           0.0097426
                  15,            0.098273,             0.16055,            0.042889,           0.0022651,            0.039517,           0.0013438,          0.00023271,             0.10396,            0.090206,            0.046208,           0.0097228,           0.0097228,           0.0097228
                  16,            0.096966,             0.16303,            0.042835,           0.0038474,            0.058937,           0.0022281,          0.00072393,             0.10373,            0.090506,            0.046012,            0.009703,            0.009703,            0.009703
                  17,             0.09705,             0.17062,            0.042584,           0.0045682,            0.076747,            0.002812,          0.00080221,             0.10223,            0.093103,            0.044906,           0.0096832,           0.0096832,           0.0096832
                  18,            0.096472,             0.17363,            0.042542,           0.0046239,             0.07483,           0.0033355,          0.00057651,             0.10066,            0.095516,            0.044116,           0.0096634,           0.0096634,           0.0096634
                  19,            0.095219,             0.16174,            0.042588,           0.0033041,            0.052401,           0.0019016,           0.0004169,             0.10019,            0.096512,            0.043958,           0.0096436,           0.0096436,           0.0096436
